Occupation ,Gaps
"Healthcare Practitioners and Technical Occupations ($89,100)",-7
"Management Occupations ($124,200)",-6
"Business and Financial Operations Occupations ($79,500)",-6
"Computer and Mathematical Occupations ($95,000)",-5
"Community and Social Service Occupations ($49,900)",-2
"Educational Instruction and Library Occupations ($49,000)",-1
"Life, Physical, and Social Science Occupations ($81,500)",-1
"Architecture and Engineering Occupations ($94,800)",-1
"Protective Service Occupations ($50,800)",1
"Construction and Extraction Occupations ($47,900)",2
"Building and Grounds Cleaning and Maintenance Occupations ($28,600)",3
"Personal Care and Service Occupations ($29,400)",5
"Production Occupations ($44,100)",6
"Office and Administrative Support Occupations ($41,900)",10
"Transportation and Material Moving Occupations ($36,800)",11
"Sales and Related Occupations ($37,900)",22
"Food Preparation and Serving Related Occupations ($25,800)",23
