Type of Industry,Percentage
Utilities,0
Construction,14
Manufacturing,6.1
Wholesale Trade,5.5
Retail Trade,12.4
Transportation and Warehousing,8
Information,0
Finance and Insurance,6.3
"Real Estate, Rental, and Leasing",8.8
"Professional, Scientific, and Technical Services",18.2
Managamnet of Companies and Enterprises,17.3
"Administrative and Support, and Waste Management",17
Educational Services,5.8
Health Care and Social Assistance,11.9
"Arts, Entertainment, and Recreation",13
Accomodation and Food Serives,13.9
Other Services (expect Public Admnistration),5.6
Public Administration,5.9
