Occupation,Hopewell,Prince George,Crater Area,,Hopewell County,Prince George County,Crater Area County
Unknown Occupation Code,140,77,839,,39.11,32.77,38.26
Office and Administrative Support ,45,29,231,,12.57,12.34,10.53
Production,37,24,206,,10.34,10.21,9.39
Food Preparation and Serving Related ,19,6,119,,5.31,2.55,5.43
Sales and Related,17,13,118,,4.75,5.53,5.38
Transportation and Material Moving,13,12,110,,3.63,5.11,5.02
Construction and Extraction ,18,12,93,,5.03,5.11,4.24
Healthcare Support,8,5,78,,2.23,2.13,3.56
Building and Grounds Cleaning and Maintneance,8,6,60,,2.23,2.55,2.74
Management,10,6,58,,2.79,2.55,2.64
"Installation, Maintenance, and repair",10,7,51,,2.79,2.98,2.33
Personal Care and Serice,4,7,48,,1.12,2.98,2.19
Healthcare Practitioners and Technical,9,4,41,,2.51,1.70,1.87
Protective Services,6,2,31,,1.68,0.85,1.41
Business and Financial Operations,3,6,25,,0.84,2.55,1.14
"Education, Training, and Library",2,5,21,,0.56,2.13,0.96
Community and Social Services,1,1,16,,0.28,0.43,0.73
Computer and Mathematical,3,3,10,,0.84,1.28,0.46
Architecture and Engineering,1,3,10,,0.28,1.28,0.46
Military Specific,1,4,7,,0.28,1.70,0.32
"Life, Physical, and Social Science",1,0,6,,0.28,0.00,0.27
"Arts, Design, Entertainment, Sports, and Media",1,1,6,,0.28,0.43,0.27
"Farming, Fishing, and Forestry",,1,5,,0.00,0.43,0.23
Legal,1,1,4,,0.28,0.43,0.18
